Raul_Sample_Index,sample_original,SAMPLE_ORIGINAL_BACKUP,actual_sample,corrected_sample_log,Site,Raul_Sample,Raul_ID,Year,month,day,Fraction,Date,Month_name,DayOfWeek,Season
15,R15_S14,R15,R15_S14,R15,CE,FNE,CORS,2021,1,8,EFF,1/8/2021,January,Friday,Winter
23,R23_S22,R23,R23_S22,R23,CE,DIL,100,2021,1,8,100M,1/8/2021,January,Friday,Winter
28,R28_S25,R28,R28_S25,R28,CE,RWI,CORS,2021,1,8,INF,1/8/2021,January,Friday,Winter
29,R29_S26,R29,R29_S26,R29,CE,DIL,30,2021,1,8,30M,1/8/2021,January,Friday,Winter
46,R46_S38,R46,R46_S38,R46,CE,DIL,BOIL,2021,1,8,BOIL,1/8/2021,January,Friday,Winter
10,R10_S9,R10,R10_S9,R11,CE,FNE,CORS,2021,3,9,EFF,3/9/2021,March,Tuesday,Winter
12,R12_S11,R12,R12_S11,R12,CE,FNE,CORS,2021,3,9,EFF,3/9/2021,March,Tuesday,Winter
16,R16_S15,R16,R16_S15,R16,CE,DIL,100,2021,3,9,100M,3/9/2021,March,Tuesday,Winter
21,R21_S20,R21,R21_S20,R21,CE,BOIL,NA,2021,3,9,BOIL,3/9/2021,March,Tuesday,Winter
22,R22_S21,R22,R22_S21,R22,CE,RWI,CORS,2021,3,9,INF,3/9/2021,March,Tuesday,Winter
41,R41_S34,R41,R41_S34,R41,CE,CONTROL,NA,2021,3,9,CONTROL,3/9/2021,March,Tuesday,Winter
1,R1_S1,R1,R1_S1,R1,CE,RWI,CORS,2021,5,13,INF,5/13/2021,May,Thursday,Spring
25,R25_S24,R25,R25_S24,R25,CE,FNE,CORS,2021,5,13,EFF,5/13/2021,May,Thursday,Spring
11,R11_S10,R11,R11_S10,R10,CE,BOIL,NA,2021,5,18,BOIL,5/18/2021,May,Tuesday,Spring
14,R14_S13,R14,R14_S13,R14,CE,DIL,30,2021,5,18,30M,5/18/2021,May,Tuesday,Spring
18,R18_S17,R18,R18_S17,R18,CE,DIL,100,2021,5,18,100M,5/18/2021,May,Tuesday,Spring
24,R24_S23,R24,R24_S23,R24,CE,CONTROL,NA,2021,5,18,CONTROL,5/18/2021,May,Tuesday,Spring
5,R5_S5,R5,R5_S5,R4,CE,DIL,30,2021,6,30,30M,6/30/2021,June,Wednesday,Summer
13,R13_S12,R13,R13_S12,R13,CE,BOIL,NA,2021,6,30,BOIL,6/30/2021,June,Wednesday,Summer
17,R17_S16,R17,R17_S16,R17,CE,FNE,CORS,2021,6,30,EFF,6/30/2021,June,Wednesday,Summer
19,R19_S18,R19,R19_S18,R19,CE,CONTROL,NA,2021,6,30,CONTROL,6/30/2021,June,Wednesday,Summer
35,R35_S29,R35,R35_S29,R35,CE,FNE,CORS,2021,6,30,EFF,6/30/2021,June,Wednesday,Summer
38,R38_S31,R38,R38_S31,R38,CE,DIL,100,2021,6,30,100M,6/30/2021,June,Wednesday,Summer
40,R40_S33,R40,R40_S33,R40,CE,RWI,CORS,2021,6,30,INF,6/30/2021,June,Wednesday,Summer
3,R3_S3,R3,R3_S3,R3,CE,DIL,30,2021,8,31,30M,8/31/2021,August,Tuesday,Summer
4,R4_S4,R4,R4_S4,R5,CE,RWI,CORS,2021,8,31,INF,8/31/2021,August,Tuesday,Summer
6,R6_S6,R6,R6_S6,R6,CE,RWI,CORS,2021,8,31,INF,8/31/2021,August,Tuesday,Summer
8,R8_S7,R8,R8_S7,R7,CE,CONTROL,NA,2021,8,31,CONTROL,8/31/2021,August,Tuesday,Summer
9,R9_S8,R9,R9_S8,?,CE,FNE,CORS,2021,8,31,EFF,8/31/2021,August,Tuesday,Summer
31,R31_S27,R31,R31_S27,R31,CE,DIL,100,2021,8,31,100M,8/31/2021,August,Tuesday,Summer
39,R39_S32,R39,R39_S32,R39,CE,FNE,CORS,2021,8,31,EFF,8/31/2021,August,Tuesday,Summer
44,R44_S36,R44,R44_S36,R44,CE,BOIL,NA,2021,8,31,BOIL,8/31/2021,August,Tuesday,Summer
2,R2_S2,R2,R2_S2,R2,CE,FNE,CORS,2021,11,16,EFF,11/16/2021,November,Tuesday,Fall
34,R34_S28,R34,R34_S28,R34,CE,RWI,CORS,2021,11,16,INF,11/16/2021,November,Tuesday,Fall
37,R37_S30,R37,R37_S30,R37,CE,FNE,CORS,2021,11,16,EFF,11/16/2021,November,Tuesday,Fall
20,R20_S19,R20,R20_S19,R20,CE,CONTROL,NA,2021,11,17,CONTROL,11/17/2021,November,Wednesday,Fall
42,R42_S35,R42,R42_S35,R42,CE,DIL,30,2021,11,17,30M,11/17/2021,November,Wednesday,Fall
45,R45_S37,R45,R45_S37,R45,CE,DIL,100,2021,11,17,100M,11/17/2021,November,Wednesday,Fall
,RB1_S41,,RB1_S41,,RBLANK,Blank,,NA,NA,NA,Blank,NA,NA,NA,NA
,RB2_S42,,RB2_S42,,RBLANK,Blank,,NA,NA,NA,Blank,NA,NA,NA,NA
,RB3_S43,,RB3_S43,,RBLANK,Blank,,NA,NA,NA,Blank,NA,NA,NA,NA
