gene	protein_accession	aro_index	count	rpob_Normalization	rpob_count	sample
AAC(6')-Ib7	AKN19287.1	ARO:3002578	1	0.00015019508928018122	32390	R10_S9_arg_short
AAC(6')-Ib8	AIK02012.1	ARO:3002579	1	0.00017411997075844016	32390	R10_S9_arg_short
ACT-28	AHL39333.1	ARO:3001848	1	0.00010301338584138083	32390	R10_S9_arg_short
AER-1	AAC09015.1	ARO:3002481	4	0.0005160801756250161	32390	R10_S9_arg_short
APH(3'')-Ib	ABK33456.1	ARO:3002639	4	0.000587330050618022	32390	R10_S9_arg_short
APH(6)-Id	AAC23556.1	ARO:3002660	3	0.0004231302515205105	32390	R10_S9_arg_short
AcrF	AAC76298.1	ARO:3000502	2	7.604079882397581e-05	32390	R10_S9_arg_short
Bado_rpoB_RIF	WP_041777404.1	ARO:3004480	1321	0.04379344632691599	32390	R10_S9_arg_short
Bbif_ileS_MUP	ADP36409.1	ARO:3003730	71	0.0025215966162363997	32390	R10_S9_arg_short
CRP	BAE77933.1	ARO:3000518	16	0.002983970683708624	32390	R10_S9_arg_short
CfxA3	AAL79549.2	ARO:3003003	1	0.0001222084266813897	32390	R10_S9_arg_short
CfxA6	ACT97371.1	ARO:3003097	2	0.00023705489994823778	32390	R10_S9_arg_short
DfrA43_TMP	WP_188331861.1	ARO:3005345	1	0.00020077098669085447	32390	R10_S9_arg_short
EC-13	WP_063860228.1	ARO:3006874	2	0.0002082069491608861	32390	R10_S9_arg_short
Ecol_acrA	AAC73565.1	ARO:3004043	1	9.887214419951627e-05	32390	R10_S9_arg_short
Ecol_ampC_BLA	AAC77110.1	ARO:3004290	1	0.00010410347458044305	32390	R10_S9_arg_short
Ecol_emrE	CAA77936.1	ARO:3004039	3	0.001063543605173175	32390	R10_S9_arg_short
EreD	AKO71461.1	ARO:3004608	3	0.0002886389735311062	32390	R10_S9_arg_short
ErmB	AAF86219.1	ARO:3000375	1	0.00015803659996549188	32390	R10_S9_arg_short
ErmF	AAA88675.1	ARO:3000498	2	0.00029476489431765903	32390	R10_S9_arg_short
ErmG	AAC37034.1	ARO:3000522	2	0.00032123357870536713	32390	R10_S9_arg_short
FosA2	ACC85616.1	ARO:3002804	1	0.0002771205168408977	32390	R10_S9_arg_short
GES-14	ADC91899.1	ARO:3002343	1	0.0001366358103868315	32390	R10_S9_arg_short
GES-21	AFK80745.1	ARO:3002350	1	0.0001366358103868315	32390	R10_S9_arg_short
H-NS	BAB35162.1	ARO:3000676	1	0.00028515299558990923	32390	R10_S9_arg_short
ICR-Mo	WP_082741435.1	ARO:3004569	1	7.039555168409208e-05	32390	R10_S9_arg_short
KPC-112	UIY90578.1	ARO:3008242	1	0.00013569349445312923	32390	R10_S9_arg_short
KPC-225	XAM74258.1	ARO:3008343	1	0.0001361630221155968	32390	R10_S9_arg_short
Kpne_KpnF	BAH63252.1	ARO:3004583	1	0.0003577373944673407	32390	R10_S9_arg_short
Kpne_KpnG	EHL92831.1	ARO:3004588	3	0.0003019267012128451	32390	R10_S9_arg_short
LpeB	CAH14033.1	ARO:3004100	1	3.876956984375121e-05	32390	R10_S9_arg_short
LptD	AIA35096.1	ARO:3005059	3	0.00015077054939236582	32390	R10_S9_arg_short
MCR-3.6	AST36140.1	ARO:3004503	1	7.273773270130773e-05	32390	R10_S9_arg_short
MCR-5.2	AVM85875.1	ARO:3004698	1	7.193987822926414e-05	32390	R10_S9_arg_short
MOX-17	UUT29086.1	ARO:3008385	1	0.00010382879522798807	32390	R10_S9_arg_short
MOX-6	ACS44784.1	ARO:3002185	1	0.00010247685779012363	32390	R10_S9_arg_short
MdtK	AML99881.1	ARO:3001327	1	8.284444924506836e-05	32390	R10_S9_arg_short
MdtQ	WMY66391.1	ARO:3007682	1	8.198148623209891e-05	32390	R10_S9_arg_short
Mef(En2)	AAF74725.1	ARO:3004659	1	9.788834176967034e-05	32390	R10_S9_arg_short
MexB	AAA74437.1	ARO:3000378	6	0.00022550781313127494	32390	R10_S9_arg_short
MexD	AAB41957.1	ARO:3000801	2	7.538527469618291e-05	32390	R10_S9_arg_short
MexF	AAG05882.1	ARO:3000804	17	0.0006293216628917471	32390	R10_S9_arg_short
MexI	AAG07594.1	ARO:3000808	9	0.00034384468011909445	32390	R10_S9_arg_short
MexJ	AAG07065.1	ARO:3003692	2	0.00021386474669243195	32390	R10_S9_arg_short
MexK	AAG07064.1	ARO:3003693	8	0.0003068312935002532	32390	R10_S9_arg_short
MexW	AAG07763.1	ARO:3003031	2	7.723476622454853e-05	32390	R10_S9_arg_short
Mrx	AAS13767.1	ARO:3003839	1	9.528114622616822e-05	32390	R10_S9_arg_short
MuxB	AAG05915.1	ARO:3004074	8	0.00030154109878473165	32390	R10_S9_arg_short
MuxC	AAG05914.1	ARO:3004075	2	7.589414347426707e-05	32390	R10_S9_arg_short
OXA-1085	ULU82660.1	ARO:3008503	1	0.0001446732109978216	32390	R10_S9_arg_short
OXA-16	AAB97924.1	ARO:3001411	1	0.00015252369531553286	32390	R10_S9_arg_short
OXA-36	AAG24866.1	ARO:3001430	1	0.0001593162485482084	32390	R10_S9_arg_short
OXA-444	BAQ55594.1	ARO:3003600	2	0.0002893464219956432	32390	R10_S9_arg_short
OXA-464	ANW35663.1	ARO:3003620	1	0.00015492564327325778	32390	R10_S9_arg_short
OXA-573	WP_064808881.1	ARO:3005325	1	0.0001446732109978216	32390	R10_S9_arg_short
OXA-574	WP_064808581.1	ARO:3005795	1	0.00014053969068359814	32390	R10_S9_arg_short
OXA-60	AAQ08905.1	ARO:3001808	2	0.0002893464219956432	32390	R10_S9_arg_short
OXA-959	QVO43824.1	ARO:3008736	1	0.0001484947675147452	32390	R10_S9_arg_short
OpmH	AAG08359.1	ARO:3003682	2	0.00016294456890851957	32390	R10_S9_arg_short
OprM	AAG03816.1	ARO:3000379	1	8.096936911812237e-05	32390	R10_S9_arg_short
OprN	AAG05883.1	ARO:3000805	1	8.319474289938156e-05	32390	R10_S9_arg_short
PNGM-1	AWN09461.1	ARO:3004571	1	0.00010168246354368857	32390	R10_S9_arg_short
Paer_CpxR	SIP52035.1	ARO:3004054	4	0.0006964798830337607	32390	R10_S9_arg_short
PmrF	AAC75314.1	ARO:3003578	2	0.00024366014483843636	32390	R10_S9_arg_short
QnrAS	CAQ79275.1	ARO:3004668	1	0.0001796854492758332	32390	R10_S9_arg_short
QnrS6	AEG74318.1	ARO:3002795	1	0.0001796854492758332	32390	R10_S9_arg_short
RanA	ADZ12699.1	ARO:3005091	142	0.02157474170494155	32390	R10_S9_arg_short
RanB	ADZ12700.1	ARO:3005090	18	0.00278866157891864	32390	R10_S9_arg_short
RbpA	ADV91011.1	ARO:3000245	3	0.0010265507841236733	32390	R10_S9_arg_short
